fname,label
00044347.wav,Hi-hat
001ca53d.wav,Saxophone
002d256b.wav,Trumpet
0033e230.wav,Glockenspiel
00353774.wav,Cello
003b91e8.wav,Cello
003da8e5.wav,Knock
0048fd00.wav,Gunshot_or_gunfire
004ad66f.wav,Clarinet
0063ab88.wav,Computer_keyboard
006f2f32.wav,Hi-hat
0075d39c.wav,Keys_jangling
00780200.wav,Snare_drum
0079d310.wav,Writing
0091fc7f.wav,Cello
0097160c.wav,Laughter
00ad7068.wav,Laughter
00c5808a.wav,Tearing
00c82919.wav,Fart
00c934d7.wav,Laughter
00c9e799.wav,Oboe
00cb787c.wav,Flute
00ce569f.wav,Hi-hat
00d1fe46.wav,Cough
00d3bba3.wav,Telephone
00d40fa2.wav,Snare_drum
00d9fa61.wav,Flute
00e2b4cd.wav,Bark
00f88dc5.wav,Glockenspiel
00fbb28b.wav,Chime
00fcbab2.wav,Bass_drum
010aa387.wav,Fart
011a2185.wav,Cello
0120d246.wav,Bus
01235a12.wav,Squeak
01257aad.wav,Scissors
01302128.wav,Harmonica
013264d3.wav,Squeak
013c3135.wav,Clarinet
01506d76.wav,Scissors
015cf474.wav,Clarinet
0160d55e.wav,Gong
01638f61.wav,Writing
0172a2a5.wav,Microwave_oven
017ea24e.wav,Burping_or_eructation
01811e48.wav,Harmonica
0184c390.wav,Cello
018863f5.wav,Double_bass
018a10bb.wav,Double_bass
018b1df6.wav,Shatter
018d1dc4.wav,Hi-hat
0193042e.wav,Fireworks
01974c7c.wav,Hi-hat
019aae9d.wav,Fireworks
019d2a2c.wav,Bark
01a36643.wav,Tambourine
01a39e95.wav,Shatter
01a59a61.wav,Gong
01a59c11.wav,Harmonica
01a5dc85.wav,Double_bass
01b9f44a.wav,Telephone
01c2f88b.wav,Bass_drum
01d2475c.wav,Writing
01d4dafd.wav,Harmonica
01df7ada.wav,Shatter
01e723f5.wav,Harmonica
01ec7a01.wav,Tearing
01ee18fd.wav,Microwave_oven
01f2e70b.wav,Gunshot_or_gunfire
01fc4661.wav,Oboe
020eb9f6.wav,Bark
021f8009.wav,Fart
022092bc.wav,Keys_jangling
02267a1a.wav,Squeak
02274ee8.wav,Burping_or_eructation
022a3507.wav,Bus
022cc908.wav,Knock
0231b9f3.wav,Double_bass
02328c03.wav,Computer_keyboard
0236dccb.wav,Cowbell
023d3434.wav,Microwave_oven
0244bb9e.wav,Fireworks
024a193f.wav,Laughter
024c4c6d.wav,Bass_drum
024da466.wav,Tambourine
0256c2f2.wav,Keys_jangling
0259e5d2.wav,Hi-hat
025f3fd2.wav,Hi-hat
025f7eac.wav,Knock
0262817d.wav,Fart
0266774c.wav,Cowbell
027482e2.wav,Electric_piano
027aa77c.wav,Clarinet
027aee2a.wav,Fireworks
027cd3fd.wav,Meow
0286fc27.wav,Double_bass
029632ad.wav,Cello
029b22f3.wav,Keys_jangling
029ee867.wav,Gunshot_or_gunfire
02a3243a.wav,Telephone
02ac1057.wav,Flute
02c095b4.wav,Tearing
02c9a1f1.wav,Writing
02d367e4.wav,Clarinet
02d6b747.wav,Cough
02d7fba3.wav,Double_bass
02dbfc78.wav,Cello
02e9392e.wav,Tambourine
02eed858.wav,Harmonica
02f8e94d.wav,Clarinet
0313ea1a.wav,Flute
032f7280.wav,Drawer_open_or_close
03320f05.wav,Applause
0338f669.wav,Cello
034beca1.wav,Fireworks
034e4ffa.wav,Trumpet
0350156b.wav,Keys_jangling
0356dec7.wav,Acoustic_guitar
0356f2ab.wav,Tambourine
03586ad9.wav,Cowbell
03657d6d.wav,Shatter
03734652.wav,Squeak
0383c69d.wav,Chime
0395ba61.wav,Oboe
03a01285.wav,Knock
03b4aca1.wav,Meow
03bb1c33.wav,Glockenspiel
03bc8fbc.wav,Shatter
03cd971f.wav,Cowbell
03d00f38.wav,Knock
03d42e2e.wav,Double_bass
03e13ae7.wav,Trumpet
03e88255.wav,Electric_piano
03e9765d.wav,Drawer_open_or_close
03ed9ba8.wav,Oboe
03f38c68.wav,Hi-hat
03fc1f96.wav,Bass_drum
04076350.wav,Clarinet
04092b14.wav,Gong
041396a9.wav,Laughter
04186a03.wav,Violin_or_fiddle
04281949.wav,Tearing
0429828b.wav,Fireworks
04330b10.wav,Squeak
04335030.wav,Trumpet
043a5393.wav,Electric_piano
0446a487.wav,Snare_drum
0447d04d.wav,Laughter
04490642.wav,Trumpet
044be615.wav,Violin_or_fiddle
0450e72b.wav,Oboe
04562f7d.wav,Trumpet
0457d8bc.wav,Bark
0459f90f.wav,Squeak
04646cce.wav,Gong
047b3d34.wav,Cough
047f5b83.wav,Gong
0482a372.wav,Cello
048fb352.wav,Applause
0496718e.wav,Finger_snapping
04a19a27.wav,Writing
04a7003c.wav,Knock
04ab05a7.wav,Bark
04ad9aa5.wav,Knock
04b4009f.wav,Snare_drum
04b9a79a.wav,Clarinet
04cce777.wav,Burping_or_eructation
04d0cae4.wav,Knock
04d33fe7.wav,Shatter
04e82f46.wav,Bass_drum
04e8596a.wav,Violin_or_fiddle
0508f1e3.wav,Double_bass
051138fc.wav,Finger_snapping
0513cbfc.wav,Bass_drum
05149415.wav,Knock
05173c4d.wav,Bark
051f9935.wav,Fart
0526ac41.wav,Double_bass
052789c8.wav,Fireworks
05309a38.wav,Snare_drum
05388f6c.wav,Applause
05561612.wav,Cello
0556be76.wav,Violin_or_fiddle
0563ab6e.wav,Shatter
058b98f0.wav,Telephone
05a0ca60.wav,Gong
05a3154f.wav,Oboe
05a458a7.wav,Fireworks
05b76c07.wav,Saxophone
05bc162b.wav,Gunshot_or_gunfire
05c5ab94.wav,Squeak
05cc4425.wav,Shatter
05d0dfa7.wav,Oboe
05d54a68.wav,Trumpet
05d81cdf.wav,Acoustic_guitar
05e4028a.wav,Saxophone
05ecefbe.wav,Violin_or_fiddle
05ef46ec.wav,Double_bass
05f2c2a6.wav,Clarinet
06006fca.wav,Knock
0609bd9e.wav,Writing
060b8c30.wav,Computer_keyboard
060ba089.wav,Finger_snapping
060ca755.wav,Fart
060e13d6.wav,Trumpet
060fab76.wav,Electric_piano
061cf689.wav,Trumpet
0627acfa.wav,Cello
0632d921.wav,Laughter
0640c787.wav,Applause
06487815.wav,Drawer_open_or_close
064cfad3.wav,Clarinet
065e7bb4.wav,Computer_keyboard
066d40f4.wav,Snare_drum
06712325.wav,Laughter
06730f97.wav,Trumpet
06789937.wav,Saxophone
06896eb5.wav,Trumpet
06959969.wav,Tambourine
06a09fcd.wav,Harmonica
06a1dfc0.wav,Snare_drum
06a76756.wav,Snare_drum
06b278f7.wav,Harmonica
06b89bf9.wav,Violin_or_fiddle
06b9dc31.wav,Finger_snapping
06c1c5c3.wav,Harmonica
06c48eab.wav,Hi-hat
06d0d6e4.wav,Scissors
06d164df.wav,Clarinet
06d2b52b.wav,Cowbell
06dbf664.wav,Fireworks
06dd3b18.wav,Bark
06e15d8e.wav,Bass_drum
06e87b61.wav,Bark
06ed75a7.wav,Gong
06f60188.wav,Saxophone
06fbb272.wav,Drawer_open_or_close
06fd1973.wav,Hi-hat
06feb8ea.wav,Finger_snapping
070183b1.wav,Fireworks
07036b1d.wav,Snare_drum
0704ffb8.wav,Bark
070bcdd9.wav,Violin_or_fiddle
070f52cb.wav,Cello
0713db9c.wav,Microwave_oven
0716126b.wav,Harmonica
071803a0.wav,Cello
071e836c.wav,Microwave_oven
071efb95.wav,Bass_drum
0720ef3b.wav,Saxophone
07211dfa.wav,Trumpet
072f3031.wav,Double_bass
0730a3d8.wav,Acoustic_guitar
0733ce78.wav,Laughter
0738f99f.wav,Oboe
0742098b.wav,Squeak
074cc08b.wav,Fart
074e07a5.wav,Squeak
074e2f09.wav,Hi-hat
07563fea.wav,Drawer_open_or_close
07605b4c.wav,Bark
0765b7d1.wav,Harmonica
076b6a7a.wav,Squeak
07762f74.wav,Tearing
07764530.wav,Oboe
0779162e.wav,Finger_snapping
0784c182.wav,Knock
078c67e5.wav,Tearing
078f7ac0.wav,Hi-hat
079968f4.wav,Clarinet
079bb1c3.wav,Oboe
07a16abd.wav,Tearing
07a177eb.wav,Squeak
07a99531.wav,Oboe
07af4f4d.wav,Gong
07b44e8e.wav,Tambourine
07b910ee.wav,Cowbell
07c8c909.wav,Flute
07ce4408.wav,Gunshot_or_gunfire
07db7f16.wav,Flute
07ec6849.wav,Cough
07ed1d56.wav,Burping_or_eructation
07f16007.wav,Cello
07f6b1dc.wav,Cello
07f88679.wav,Hi-hat
08064f4a.wav,Writing
080bffb7.wav,Writing
081a3386.wav,Fart
081c263d.wav,Keys_jangling
082321d2.wav,Cello
0832c151.wav,Trumpet
085652af.wav,Oboe
085be86f.wav,Tambourine
086dfaff.wav,Bark
086e6a35.wav,Fart
0879e568.wav,Saxophone
087f12b6.wav,Cowbell
0886c767.wav,Chime
0886d4f8.wav,Shatter
08893744.wav,Bass_drum
08894340.wav,Double_bass
088b75db.wav,Bass_drum
088d3f95.wav,Harmonica
08a68ba1.wav,Acoustic_guitar
08a94aca.wav,Fart
08b54ed0.wav,Burping_or_eructation
08b88eb7.wav,Violin_or_fiddle
08c931f6.wav,Knock
08cf2d2b.wav,Bark
08d931c3.wav,Computer_keyboard
08dba5f4.wav,Gong
08e79547.wav,Bass_drum
08fa5140.wav,Clarinet
08fb553f.wav,Writing
0906c4a9.wav,Double_bass
090e1d30.wav,Cowbell
090ea106.wav,Tambourine
09158810.wav,Tambourine
0920512f.wav,Tearing
09282dc5.wav,Cough
0933c357.wav,Gunshot_or_gunfire
0939d783.wav,Bark
093bf325.wav,Writing
095138e2.wav,Oboe
095836cb.wav,Flute
0958751e.wav,Hi-hat
0969b5c5.wav,Acoustic_guitar
096b4d70.wav,Keys_jangling
097b5ab0.wav,Knock
09841f13.wav,Shatter
098a3205.wav,Bark
098c2232.wav,Laughter
0994e80c.wav,Computer_keyboard
09986ba4.wav,Laughter
099ce615.wav,Squeak
09a1cfd7.wav,Hi-hat
09a355a9.wav,Cough
09a585bf.wav,Keys_jangling
09a63606.wav,Acoustic_guitar
09a732e6.wav,Double_bass
09a7c5ce.wav,Snare_drum
09a7dc35.wav,Cowbell
09a895f3.wav,Fart
09b51c66.wav,Fireworks
09b8a126.wav,Violin_or_fiddle
09b901f8.wav,Computer_keyboard
09bc3033.wav,Drawer_open_or_close
09ca1e09.wav,Shatter
